File RaireData/Input/NSW15/South_Coast.raire, Contest 1, asn 41.0, 0.09%
File RaireData/Input/NSW15/Strathfield.raire, Contest 1, asn 227.0, 0.46%
File RaireData/Input/NSW15/Summer_Hill.raire, Contest 1, asn 45.0, 0.09%
File RaireData/Input/NSW15/Swansea.raire, Contest 1, asn 35.0, 0.07%
File RaireData/Input/NSW15/Sydney.raire, Contest 1, asn 54.0, 0.12%
File RaireData/Input/NSW15/Tamworth.raire, Contest 1, asn 41.0, 0.08%
File RaireData/Input/NSW15/Terrigal.raire, Contest 1, asn 44.0, 0.09%
File RaireData/Input/NSW15/TheEntrance.raire, Contest 1, asn 1413.0, 2.81%
File RaireData/Input/NSW15/Tweed.raire, Contest 1, asn 127.0, 0.27%
File RaireData/Input/NSW15/Upper_Hunter.raire, Contest 1, asn 203.0, 0.41%
File RaireData/Input/NSW15/Vaucluse.raire, Contest 1, asn 17.0, 0.04%
File RaireData/Input/NSW15/Wagga_Wagga.raire, Contest 1, asn 31.0, 0.06%
File RaireData/Input/NSW15/Wakehurst.raire, Contest 1, asn 16.0, 0.03%
File RaireData/Input/NSW15/Wallsend.raire, Contest 1, asn 18.0, 0.03%
File RaireData/Input/NSW15/Willoughby.raire, Contest 1, asn 17.0, 0.03%
File RaireData/Input/NSW15/Wollondilly.raire, Contest 1, asn 25.0, 0.05%
File RaireData/Input/NSW15/Wollongong.raire, Contest 1, asn 55.0, 0.10%
File RaireData/Input/NSW15/Wyong.raire, Contest 1, asn 46.0, 0.09%
File RaireData/Input/NSW19/Albury.raire, Contest 1, asn 25.0, 0.05%
File RaireData/Input/NSW19/Auburn.raire, Contest 1, asn 45.0, 0.09%
File RaireData/Input/NSW19/Ballina.raire, Contest 1, asn 98.0, 0.19%
File RaireData/Input/NSW19/Balmain.raire, Contest 1, asn 44.0, 0.09%
File RaireData/Input/NSW19/Bankstown.raire, Contest 1, asn 29.0, 0.06%
File RaireData/Input/NSW19/Barwon.raire, Contest 1, asn 74.0, 0.15%
File RaireData/Input/NSW19/Bathurst.raire, Contest 1, asn 26.0, 0.05%
File RaireData/Input/NSW19/Baulkham_Hills.raire, Contest 1, asn 22.0, 0.04%
